city,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h,other
阿坝州,18,6,11,0.4,5,55,16,7,其他城市
阿克苏地区,198,83,344,0.4,18,51,28,9,其他城市
阿拉善盟,55,19,50,0.4,5,101,104,8,其他城市
阿勒泰地区,13,1,12,0.85,10,38,21,17,其他城市
阿里地区,31,2,6,0.4,4,83,61,3,其他城市
安康,41,16,40,0.63,19,49,36,8,其他城市
安庆,46,32,39,0.64,13,99,71,9,其他城市
鞍山,34,14,31,0.87,15,107,50,15,其他城市
安顺,48,33,44,0.87,15,57,44,21,其他城市
安阳,56,39,54,0.94,13,151,62,10,其他城市
白城,36,12,33,0.35,2,112,64,3,其他城市
百色,20,8,8,1.0,7,51,38,6,其他城市
白山,33,9,32,0.7,7,78,32,9,其他城市
白银,53,17,54,0.5,8,84,83,5,其他城市
保定,100,75,113,0.98,35,109,45,16,其他城市
宝鸡,28,17,27,0.87,31,33,17,4,其他城市
保山,33,11,32,0.35,7,72,42,7,其他城市
包头,28,8,19,0.63,29,61,54,11,其他城市
巴彦淖尔,62,15,72,0.3,5,72,61,3,其他城市
巴中,23,7,18,0.6,15,49,45,3,其他城市
北海,36,17,22,0.68,6,79,70,6,其他城市
北京,99,74,92,0.94,52,61,21,9,其他城市
蚌埠,43,20,41,0.4,11,135,83,8,其他城市
本溪,31,13,30,1.43,22,70,27,18,其他城市
毕节,25,13,21,1.0,9,50,48,7,其他城市
滨州,49,26,48,0.77,14,145,83,12,其他城市
博州,54,16,55,0.2,9,59,21,7,其他城市
亳州,40,13,33,0.4,14,125,65,14,其他城市
沧州,63,42,59,0.7,28,169,72,18,其他城市
长春,23,9,15,0.43,7,73,32,3,其他城市
常德,40,24,39,0.76,17,71,56,7,其他城市
昌都,23,8,17,0.7,10,71,39,3,其他城市
昌都地区,29,6,12,0.7,11,86,57,8,其他城市
昌吉州,72,28,91,0.7,35,43,21,9,其他城市
长沙,39,27,33,0.62,22,60,49,6,其他城市
常熟,39,13,32,0.35,14,123,74,13,其他城市
长治,42,26,41,0.83,6,122,77,6,其他城市
常州,37,21,36,0.64,30,88,55,12,其他城市
朝阳,41,16,27,0.75,7,129,68,11,其他城市
潮州,49,24,48,0.7,6,121,87,7,其他城市
承德,61,25,70,0.75,31,86,33,9,其他城市
成都,42,23,41,0.73,23,49,50,6,其他城市
郴州,28,11,27,0.65,15,51,52,8,其他城市
赤峰,56,25,60,0.5,15,104,49,8,其他城市
池州,32,14,26,0.3,13,100,61,5,其他城市
重庆,31,16,30,0.78,38,25,30,6,其他城市
崇左,16,3,0,0.45,5,48,27,5,其他城市
楚雄州,18,7,10,0.6,4,57,23,10,其他城市
滁州,39,12,28,0.33,7,116,76,6,其他城市
大连,38,11,26,0.47,5,106,75,4,其他城市
大理州,23,11,22,0.5,7,59,44,5,其他城市
丹东,27,14,26,0.45,8,72,32,11,其他城市
大庆,33,9,31,0.4,10,103,53,5,其他城市
大同,57,32,62,0.92,15,93,44,19,其他城市
大兴安岭地,0,0,0,0.0,0,0,0,0,其他城市
大兴安岭地区,27,5,12,0.2,6,84,39,5,其他城市
达州,37,15,36,0.5,36,51,51,10,其他城市
德宏州,42,29,41,0.6,11,64,18,14,其他城市
德阳,28,7,19,0.48,10,58,55,7,其他城市
德州,77,54,101,0.73,21,180,86,19,其他城市
定西,41,18,40,0.3,10,84,70,2,其他城市
迪庆州,26,12,16,0.45,4,70,50,6,其他城市
东莞,55,38,54,0.64,13,146,76,7,其他城市
东营,48,16,42,0.48,12,152,79,14,其他城市
鄂尔多斯,37,12,29,0.55,13,82,73,5,其他城市
恩施州,30,9,29,0.9,16,58,34,7,其他城市
鄂州,34,15,33,0.67,15,108,67,10,其他城市
防城港,39,16,38,1.57,22,52,42,7,其他城市
佛山,58,40,56,0.8,38,80,53,8,其他城市
抚顺,35,13,34,0.57,14,105,46,15,其他城市
阜新,46,23,45,0.48,12,134,65,14,其他城市
阜阳,37,10,31,0.33,11,112,73,24,其他城市
富阳,62,34,71,1.0,33,56,50,17,其他城市
福州,44,14,30,0.44,7,101,87,6,其他城市
抚州,42,19,41,0.66,9,120,70,12,其他城市
甘南州,39,9,18,0.3,9,83,77,0,其他城市
赣州,39,25,38,0.84,7,101,70,12,其他城市
甘孜藏族自治州,51,19,50,0.4,9,47,41,5,其他城市
甘孜州,25,12,17,0.35,11,57,49,9,其他城市
广安,25,7,19,0.56,12,57,48,4,其他城市
广元,24,6,11,0.45,15,55,46,13,其他城市
广州,58,40,58,0.75,35,107,51,8,其他城市
贵港,22,10,21,0.6,7,55,38,5,其他城市
桂林,25,7,10,0.55,12,52,49,5,其他城市
贵阳,28,12,23,0.47,11,61,55,4,其他城市
果洛州,48,13,34,0.1,6,99,94,7,其他城市
固原,56,22,60,0.5,9,88,70,6,其他城市
哈尔滨,39,16,38,0.48,26,85,38,9,其他城市
海北州,0,0,0,0.0,0,0,0,0,其他城市
海东地区,30,18,29,0.7,18,81,59,8,其他城市
海口,32,14,31,0.52,6,75,58,3,其他城市
海门,39,14,27,0.47,9,90,76,17,其他城市
海南州,103,33,154,0.4,14,95,59,7,其他城市
海西州,50,12,36,0.7,8,120,98,9,其他城市
哈密地区,19,8,18,0.85,21,25,21,3,其他城市
邯郸,55,33,58,0.9,16,152,67,12,其他城市
杭州,51,22,50,0.79,31,83,44,11,其他城市
汉中,29,15,28,0.6,23,48,50,4,其他城市
鹤壁,57,30,62,0.85,16,147,68,12,其他城市
河池,24,6,18,0.8,10,46,46,5,其他城市
合肥,38,10,23,0.33,12,109,74,3,其他城市
鹤岗,33,16,32,0.38,9,71,35,10,其他城市
黑河,42,8,41,0.55,6,82,38,10,其他城市
衡水,64,44,68,0.8,14,170,74,13,其他城市
衡阳,26,10,15,0.53,17,56,51,8,其他城市
和田地区,500,219,732,0.2,9,57,46,6,其他城市
河源,55,21,57,0.63,9,99,67,7,其他城市
菏泽,88,65,105,0.9,21,172,87,24,其他城市
贺州,26,12,25,0.55,10,48,39,9,其他城市
红河州,39,14,38,0.37,6,58,47,10,其他城市
淮安,37,14,36,0.3,5,104,68,5,其他城市
淮北,43,18,40,0.55,14,135,74,11,其他城市
怀化,30,8,25,0.84,8,65,58,3,其他城市
淮南,39,18,38,0.32,15,117,69,12,其他城市
黄冈,38,12,32,0.45,4,115,74,5,其他城市
黄南州,44,25,43,1.0,18,74,60,13,其他城市
黄山,24,12,20,0.55,13,70,47,9,其他城市
黄石,45,21,44,0.8,17,99,40,8,其他城市
呼和浩特,25,6,24,0.64,19,71,37,7,其他城市
惠州,52,24,52,0.57,8,119,77,7,其他城市
葫芦岛,45,19,41,0.88,9,142,51,14,其他城市
呼伦贝尔,52,11,51,0.3,5,103,49,3,其他城市
湖州,61,43,68,0.89,43,95,52,16,其他城市
佳木斯,55,23,57,0.48,23,57,24,5,其他城市
吉安,52,22,51,0.63,14,81,52,22,其他城市
江门,56,30,59,0.8,30,99,61,7,其他城市
江阴,40,21,34,0.63,15,118,78,12,其他城市
胶南,48,12,24,0.4,6,144,95,8,其他城市
胶州,60,30,67,0.5,16,158,65,6,其他城市
焦作,66,47,79,0.78,22,129,81,11,其他城市
嘉兴,31,14,30,0.6,15,90,55,2,其他城市
嘉峪关,58,15,63,0.7,22,83,76,37,其他城市
揭阳,59,36,65,0.87,13,156,101,9,其他城市
吉林,25,6,17,0.46,11,79,42,10,其他城市
即墨,40,11,22,0.5,7,124,78,6,其他城市
济南,61,33,70,0.56,19,159,70,10,其他城市
金昌,49,7,48,0.2,3,93,80,4,其他城市
晋城,55,38,58,0.58,12,108,48,7,其他城市
景德镇,37,13,36,0.56,4,85,61,6,其他城市
荆门,59,39,66,0.73,18,81,62,12,其他城市
荆州,52,31,51,0.9,11,95,59,16,其他城市
金华,35,24,32,0.57,25,50,44,5,其他城市
济宁,48,31,47,0.53,18,146,73,15,其他城市
金坛,52,16,29,0.5,11,140,101,9,其他城市
晋中,67,48,74,1.05,22,94,33,15,其他城市
锦州,51,33,50,0.88,16,126,49,11,其他城市
九江,35,16,34,0.63,13,102,67,12,其他城市
酒泉,45,9,44,0.4,9,92,71,14,其他城市
鸡西,20,10,15,0.3,5,61,31,3,其他城市
句容,52,18,51,0.45,22,120,70,17,其他城市
开封,78,57,72,0.77,16,166,67,20,其他城市
喀什地区,279,133,404,0.45,27,61,49,6,其他城市
克拉玛依,53,12,53,0.64,16,62,34,10,其他城市
克州,389,145,490,1.0,12,66,58,3,其他城市
库尔勒,86,63,63,0.47,11,70,36,12,其他城市
昆明,34,23,33,0.76,19,70,29,14,其他城市
昆山,41,10,21,0.3,7,119,80,9,其他城市
来宾,23,7,13,0.65,7,53,45,5,其他城市
莱芜,62,32,71,0.95,18,123,57,19,其他城市
莱西,53,28,53,0.6,9,156,74,8,其他城市
莱州,43,20,34,0.75,12,134,77,15,其他城市
廊坊,100,75,123,1.23,61,61,33,18,其他城市
兰州,54,28,55,0.28,18,72,71,6,其他城市
拉萨,38,5,20,0.27,7,90,74,6,其他城市
乐山,23,9,19,0.62,12,70,36,3,其他城市
凉山州,20,13,19,0.86,17,34,23,16,其他城市
连云港,42,10,19,0.36,12,103,83,9,其他城市
聊城,71,48,90,0.7,20,166,72,20,其他城市
辽阳,40,17,39,1.08,22,91,45,25,其他城市
辽源,25,8,21,0.55,10,78,40,36,其他城市
丽江,19,13,18,0.6,8,52,33,9,其他城市
临安,53,20,54,0.65,17,103,59,12,其他城市
临沧,27,12,26,0.65,7,67,30,7,其他城市
临汾,67,48,76,1.3,20,97,49,19,其他城市
临夏州,43,24,42,0.7,7,73,71,11,其他城市
临沂,43,15,40,0.33,13,134,78,7,其他城市
林芝,17,2,9,0.25,3,53,27,3,其他城市
林芝地区,18,4,16,0.35,6,51,35,3,其他城市
丽水,41,22,40,0.55,14,76,59,6,其他城市
六盘水,26,15,25,0.74,21,37,33,11,其他城市
柳州,16,11,15,1.13,12,37,30,19,其他城市
溧阳,49,23,33,1.2,13,155,77,9,其他城市
陇南,24,12,17,0.6,21,47,47,4,其他城市
龙岩,35,11,33,0.5,6,109,68,6,其他城市
娄底,32,12,12,1.2,6,67,62,3,其他城市
六安,39,11,38,0.33,23,117,74,3,其他城市
漯河,58,24,64,0.43,14,148,75,11,其他城市
洛阳,69,49,74,0.98,26,101,35,21,其他城市
泸州,19,9,18,0.27,16,47,33,7,其他城市
吕梁,67,47,82,1.43,53,9,8,18,其他城市
马鞍山,39,15,31,0.43,14,121,72,5,其他城市
茂名,42,18,41,0.53,7,104,71,5,其他城市
眉山,23,9,22,0.6,24,39,45,4,其他城市
梅州,55,28,58,0.8,11,115,54,6,其他城市
绵阳,34,9,14,0.43,8,68,66,4,其他城市
牡丹江,33,13,32,0.26,17,65,27,12,其他城市
南昌,42,16,41,0.74,15,96,55,7,其他城市
南充,27,12,21,0.57,23,60,52,9,其他城市
南京,39,12,35,0.37,13,123,77,5,其他城市
南宁,28,19,26,0.81,23,40,34,7,其他城市
南平,48,15,26,0.6,7,114,94,6,其他城市
南通,36,11,24,0.28,5,102,71,12,其他城市
